Lot_Bin_Wafer,part,instance,temp,date,VDD,VDD18,vbl,ims_errors,read_disturb
P9KT88_0a_X,P0085,0,85C,230410,0.721,1.797,0x15,48363,2021
P9KT88_0a_X,P0085,0,85C,230410,0.721,1.797,0x17,53381,48833
P9KT88_0a_X,P0085,0,85C,230410,0.721,1.797,0x19,12546,39586
P9KT88_0a_X,P0085,0,85C,230410,0.721,1.797,0x1b,6934,63242
P9KT88_0a_X,P0085,0,85C,230410,0.721,1.797,0x1d,12334,9738
P9KT88_0a_X,P0085,0,85C,230410,0.800,1.796,0x15,34760,34361
P9KT88_0a_X,P0085,0,85C,230410,0.800,1.796,0x17,19697,18953
P9KT88_0a_X,P0085,0,85C,230410,0.800,1.796,0x19,18449,17400
P9KT88_0a_X,P0085,0,85C,230410,0.800,1.796,0x1b,31109,29817
P9KT88_0a_X,P0085,0,85C,230410,0.800,1.796,0x1d,57877,56320
P9KT88_0a_X,P0085,0,85C,230410,0.881,1.796,0x15,24879,24671
P9KT88_0a_X,P0085,0,85C,230410,0.881,1.796,0x17,57193,56807
P9KT88_0a_X,P0085,0,85C,230410,0.881,1.796,0x19,31597,30985
P9KT88_0a_X,P0085,0,85C,230410,0.881,1.796,0x1b,12944,12206
P9KT88_0a_X,P0085,0,85C,230410,0.881,1.796,0x1d,63875,62962
P9KT88_0a_X,P0085,1,85C,230410,0.721,1.797,0x15,5345,31153
P9KT88_0a_X,P0085,1,85C,230410,0.721,1.797,0x17,135,23151
P9KT88_0a_X,P0085,1,85C,230410,0.721,1.797,0x19,3312,353413
P9KT88_0a_X,P0085,1,85C,230410,0.721,1.797,0x1b,4443,63242
P9KT88_0a_X,P0085,1,85C,230410,0.721,1.797,0x1d,2542,3733
P9KT88_0a_X,P0085,1,85C,230410,0.800,1.796,0x15,24832,34361
P9KT88_0a_X,P0085,1,85C,230410,0.800,1.796,0x17,19697,242
P9KT88_0a_X,P0085,1,85C,230410,0.800,1.796,0x19,2422,6876
P9KT88_0a_X,P0085,1,85C,230410,0.800,1.796,0x1b,31109,2343
P9KT88_0a_X,P0085,1,85C,230410,0.800,1.796,0x1d,86768,56320
P9KT88_0a_X,P0085,1,85C,230410,0.881,1.796,0x15,24879,24671
P9KT88_0a_X,P0085,1,85C,230410,0.881,1.796,0x17,867856,56807
P9KT88_0a_X,P0085,1,85C,230410,0.881,1.796,0x19,438,30985
P9KT88_0a_X,P0085,1,85C,230410,0.881,1.796,0x1b,6386,12206
P9KT88_0a_X,P0085,1,85C,230410,0.881,1.796,0x1d,63875,7687
P9KT88_0a_X,P0085,2,85C,230410,0.721,1.797,0x15,864,2021
P9KT88_0a_X,P0085,2,85C,230410,0.721,1.797,0x17,23468,48833
P9KT88_0a_X,P0085,2,85C,230410,0.721,1.797,0x19,12546,646
P9KT88_0a_X,P0085,2,85C,230410,0.721,1.797,0x1b,6934,34863
P9KT88_0a_X,P0085,2,85C,230410,0.721,1.797,0x1d,63448,9738
P9KT88_0a_X,P0085,2,85C,230410,0.800,1.796,0x15,46846,34361
P9KT88_0a_X,P0085,2,85C,230410,0.800,1.796,0x17,43283,18953
P9KT88_0a_X,P0085,2,85C,230410,0.800,1.796,0x19,4204,67868
P9KT88_0a_X,P0085,2,85C,230410,0.800,1.796,0x1b,767,687
P9KT88_0a_X,P0085,2,85C,230410,0.800,1.796,0x1d,57877,3786
P9KT88_0a_X,P0085,2,85C,230410,0.881,1.796,0x15,978,24671
P9KT88_0a_X,P0085,2,85C,230410,0.881,1.796,0x17,7687,56807
P9KT88_0a_X,P0085,2,85C,230410,0.881,1.796,0x19,31597,6668
P9KT88_0a_X,P0085,2,85C,230410,0.881,1.796,0x1b,7527,7687
P9KT88_0a_X,P0085,2,85C,230410,0.881,1.796,0x1d,3777,62962
P9KT88_0a_X,P0085,5,85C,230410,0.721,1.797,0x15,48363,2021
P9KT88_0a_X,P0085,5,85C,230410,0.721,1.797,0x17,53381,876
P9KT88_0a_X,P0085,5,85C,230410,0.721,1.797,0x19,12546,39586
P9KT88_0a_X,P0085,5,85C,230410,0.721,1.797,0x1b,54343,63242
P9KT88_0a_X,P0085,5,85C,230410,0.721,1.797,0x1d,12334,9738
P9KT88_0a_X,P0085,5,85C,230410,0.800,1.796,0x15,34760,34361
P9KT88_0a_X,P0085,5,85C,230410,0.800,1.796,0x17,43684,18953
P9KT88_0a_X,P0085,5,85C,230410,0.800,1.796,0x19,18449,4868
P9KT88_0a_X,P0085,5,85C,230410,0.800,1.796,0x1b,31109,29817
P9KT88_0a_X,P0085,5,85C,230410,0.800,1.796,0x1d,438,56320
P9KT88_0a_X,P0085,5,85C,230410,0.881,1.796,0x15,42353,24671
P9KT88_0a_X,P0085,5,85C,230410,0.881,1.796,0x17,334534,56807
P9KT88_0a_X,P0085,5,85C,230410,0.881,1.796,0x19,31597,4244
P9KT88_0a_X,P0085,5,85C,230410,0.881,1.796,0x1b,12944,88
P9KT88_0a_X,P0085,5,85C,230410,0.881,1.796,0x1d,63875,243
