Vdd,Vdd18,VddIO,Vdd Meas,Idd Standby,Vdd18 Meas,Idd18 Standby,VddIO Meas,IddIO Standby,Lot Bin Wafer,Part Number,Temp,Date
0.72,1.62,1.5,0.71976973,9.141642719999999e-05,1.6199593,0.000129674839,1.5000674,0.0009669568809999996,P9KT98.AC_a_0,Q0134,25C,231204
0.72,1.8,1.5,0.71977306,9.01830762e-05,1.8000902,0.000240400381,1.5000680999999998,0.0009674381129999998,P9KT98.AC_a_0,Q0134,25C,231204
0.72,1.98,1.5,0.71977183,8.425291309999998e-05,1.9800039999999999,0.00040786454399999996,1.500057,0.0009664839040000002,P9KT98.AC_a_0,Q0134,25C,231204
0.8,1.62,1.5,0.7993933,0.00010359296999999998,1.6199396000000004,9.974049940000002e-05,1.5000803,0.0010217373399999995,P9KT98.AC_a_0,Q0134,25C,231204
0.8,1.8,1.5,0.79939391,0.00010319120400000005,1.8000674000000003,0.00019811600200000002,1.5000630999999998,0.0010241297100000006,P9KT98.AC_a_0,Q0134,25C,231204
0.8,1.98,1.5,0.79939946,0.00010021738100000002,1.9799541999999999,0.0003514425079999999,1.5000937,0.0010226226300000002,P9KT98.AC_a_0,Q0134,25C,231204
0.88,1.62,1.5,0.87950129,0.00012111840099999993,1.619901,7.518294129999998e-05,1.5000871999999998,0.0010627922799999997,P9KT98.AC_a_0,Q0134,25C,231204
0.88,1.8,1.5,0.8795023799999999,0.00012118492099999999,1.8000831000000002,0.000161005152,1.5000869,0.00106229332,P9KT98.AC_a_0,Q0134,25C,231204
0.88,1.98,1.5,0.8794898,0.00011999597899999998,1.9800047000000003,0.00030130636399999995,1.5000956999999997,0.0010626372100000004,P9KT98.AC_a_0,Q0134,25C,231204
0.72,1.62,1.5,0.7197378499999999,3.3192323699999974e-05,1.6199339,0.00013204070499999996,1.5001047,0.000891357551,P9KT98.AC_a_0,Q0128,25C,231204
0.72,1.8,1.5,0.71971414,3.188895439999999e-05,1.8001277000000002,0.00024315866399999997,1.5000897000000002,0.0008929539149999994,P9KT98.AC_a_0,Q0128,25C,231204
0.72,1.98,1.5,0.71969187,2.570850430000001e-05,1.9800057,0.00041206242,1.5001111999999999,0.0008935626600000005,P9KT98.AC_a_0,Q0128,25C,231204
0.8,1.62,1.5,0.79935926,3.963068830000002e-05,1.6199818000000001,0.00010226269799999997,1.5000888999999997,0.0009439835949999995,P9KT98.AC_a_0,Q0128,25C,231204
0.8,1.8,1.5,0.7996564399999999,3.92092838e-05,1.8000957,0.00020117042700000003,1.5000873000000001,0.0009462076560000004,P9KT98.AC_a_0,Q0128,25C,231204
0.8,1.98,1.5,0.7993420299999999,3.5870837e-05,1.9800116000000003,0.00035678483399999994,1.5000962000000002,0.0009462150390000003,P9KT98.AC_a_0,Q0128,25C,231204
0.88,1.62,1.5,0.8794346799999999,5.115315379999998e-05,1.6199207999999998,7.761016030000001e-05,1.50009,0.0009781706639999997,P9KT98.AC_a_0,Q0128,25C,231204
0.88,1.8,1.5,0.87943915,5.113328860000001e-05,1.8001023000000003,0.00016459396300000004,1.5001083999999998,0.0009783943269999998,P9KT98.AC_a_0,Q0128,25C,231204
0.88,1.98,1.5,0.8794332199999999,4.9608340899999984e-05,1.9800020999999997,0.00030753599999999996,1.5000832000000002,0.000978628011,P9KT98.AC_a_0,Q0128,25C,231204
