Error Count,Status,Instance,Lot Bin Wafer,Part Number,Temp,Date
1122,PASS,0,P9HK26_0a_05,P0004,25C,231128
2402,PASS,1,P9HK26_0a_05,P0004,25C,231128
617,PASS,2,P9HK26_0a_05,P0004,25C,231128
1983,PASS,3,P9HK26_0a_05,P0004,25C,231128
800,PASS,4,P9HK26_0a_05,P0004,25C,231128
2088,PASS,5,P9HK26_0a_05,P0004,25C,231128
1004,PASS,6,P9HK26_0a_05,P0004,25C,231128
3130,PASS,7,P9HK26_0a_05,P0004,25C,231128
450,PASS,0,P9HK26_0a_05,P0008,25C,231128
843,PASS,0,P9HK26_0a_05,P0016,25C,231129
2357,PASS,1,P9HK26_0a_05,P0016,25C,231129
919,PASS,2,P9HK26_0a_05,P0016,25C,231129
1026,PASS,3,P9HK26_0a_05,P0016,25C,231129
484,PASS,4,P9HK26_0a_05,P0016,25C,231129
1049,PASS,5,P9HK26_0a_05,P0016,25C,231129
1414,PASS,6,P9HK26_0a_05,P0016,25C,231129
1562,PASS,7,P9HK26_0a_05,P0016,25C,231129
1174,PASS,0,P9HK26_0a_05,P0019,25C,231128
1691,PASS,1,P9HK26_0a_05,P0019,25C,231128
399,PASS,2,P9HK26_0a_05,P0019,25C,231128
2111,PASS,3,P9HK26_0a_05,P0019,25C,231128
646,PASS,4,P9HK26_0a_05,P0019,25C,231128
