Lot_Bin_Wafer,(All),,,,
part,(All),,,,
vdd,(All),,,,
vwl2,(Multiple Items),,,,
,,,,,
Average of IWL,Column Labels,,,,
,1,,,1 Total,Grand Total
Row Labels,25C,085C,-40C,,
1.62,1.040429861,1.229124764,1.042173148,1.103131522,1.103131522
0.05,,0.0007,,0.0007,0.0007
0.7,,1.906003846,,1.906003846,1.906003846
0.75,,1.88026,,1.88026,1.88026
0.8,,1.8535,,1.8535,1.8535
0.9,,1.8142,,1.8142,1.8142
0.95,,1.788466667,,1.788466667,1.788466667
1,,1.7607,,1.7607,1.7607
1.05,,1.7532,,1.7532,1.7532
1.15,,1.6852,,1.6852,1.6852
1.3,,1.6288,,1.6288,1.6288
1.35,,1.5972,,1.5972,1.5972
1.4,0.00069375,0.0006875,0.000670833,0.00068125,0.00068125
1.45,0.0006875,0.0007,,0.00069375,0.00069375
1.55,0.0006125,0.00060625,0.0006,0.000605357,0.000605357
1.6,0.0006,,,0.0006,0.0006
1.65,,1.44005,,1.44005,1.44005
1.7,1.388616667,1.40934,1.361645833,1.382199174,1.382199174
1.75,1.030796875,1.3814125,0.691058333,0.954905769,0.954905769
1.8,0.809865,0.847490476,1.356779167,0.973583529,0.973583529
1.85,1.3247375,0.99819375,1.332254167,1.196375,1.196375
1.9,1.300033333,1.305425,1.3077875,1.304126786,1.304126786
1.95,1.2754125,1.272766667,1.282866667,1.275856566,1.275856566
2,1.249854167,0.982867568,1.257766667,1.135870588,1.135870588
2.05,1.225170833,1.2311375,1.2331375,1.2294375,1.2294375
2.1,1.200683333,1.20405625,1.208629167,1.20435625,1.20435625
2.15,1.175979167,,1.183904167,1.179941667,1.179941667
2.2,1.151470833,,1.159333333,1.155402083,1.155402083
2.25,1.127070833,,1.134641667,1.13085625,1.13085625
2.3,1.101748485,1.14105,1.11,1.106437288,1.106437288
2.35,1.087546667,1.0820875,1.0853375,1.084994545,1.084994545
2.4,,1.10845,,1.10845,1.10845
1.8,1.037607639,1.182758726,1.038974074,1.085848602,1.085848602
0.15,,0.000775,,0.000775,0.000775
1,,1.740333333,,1.740333333,1.740333333
1.05,,1.72945625,,1.72945625,1.72945625
1.15,,1.682775,,1.682775,1.682775
1.35,,1.5904,,1.5904,1.5904
1.4,0.000707143,0.67285,0.000666667,0.192730612,0.192730612
1.45,0.00068,0.0007,0.000666667,0.000685714,0.000685714
1.55,0.000625,0.0006125,0.0006,0.000608333,0.000608333
1.6,0.0006125,,,0.0006125,0.0006125
1.7,1.388207317,1.4077875,1.3472875,1.374984071,1.374984071
1.75,0.741773077,1.044351515,0.68841875,0.797593233,0.797593233
1.8,1.349403846,0.891895652,1.3526625,1.206328767,1.206328767
1.85,1.322888,1.327145833,1.329091667,1.326327397,1.326327397
1.9,1.297445833,1.302125,1.305195833,1.301435714,1.301435714
1.95,1.272670833,1.277466667,1.281204167,1.277113889,1.277113889
2,1.2472375,0.6265,1.256208333,1.095417188,1.095417188
2.05,1.22245,1.227104167,1.231683333,1.227079167,1.227079167
2.1,1.198054167,1.2028625,1.207179167,1.202651786,1.202651786
2.15,1.173166667,1.1778475,1.182620833,1.177872727,1.177872727
2.2,1.1484625,1.159146667,1.157891667,1.156065591,1.156065591
2.25,1.123791667,1.145433333,1.133175,1.129480392,1.129480392
2.3,1.099216667,,1.108341667,1.103779167,1.103779167
2.35,1.074570833,1.1161125,1.0836,1.084375,1.084375
1.98,1.035594907,1.239024519,1.073348821,1.114709984,1.114709984
0.3,,0.0008,,0.0008,0.0008
0.75,,,0.0008,0.0008,0.0008
0.8,,,0.00075,0.00075,0.00075
0.85,,,0.000733333,0.000733333,0.000733333
0.9,,,0.00075,0.00075,0.00075
1.35,,1.571596591,,1.571596591,1.571596591
1.4,0.00075,1.0371125,0.0007,0.6225575,0.6225575
1.45,0.00070625,1.52335,0.0006875,0.117826923,0.117826923
1.5,,1.505223077,,1.505223077,1.505223077
1.55,0.00062,1.4979,0.0006,0.068663636,0.068663636
1.6,0.000615789,0.0006,,0.000611111,0.000611111
1.65,,,1.408644444,1.408644444,1.408644444
1.7,1.3861025,1.403622222,1.337333333,1.367857282,1.367857282
1.75,0.688854167,0.68654375,0.847940385,0.75985,0.75985
1.8,1.3524375,1.360552381,1.21198,1.298526667,1.298526667
1.85,1.327829167,1.327833333,1.325421739,1.326841071,1.326841071
1.9,1.303158333,1.2990625,1.303126923,1.30257931,1.30257931
1.95,1.278441667,1.27475,1.279429167,1.2783375,1.2783375
2,1.253245833,0.416866667,1.258175,0.976095833,0.976095833
2.05,1.228395833,1.224875,1.239042857,1.232895,1.232895
2.1,1.203164,1.1999625,1.208546875,1.20542,1.20542
2.15,1.178326087,1.1759375,1.174588,1.176316071,1.176316071
2.2,1.153684,1.15145,1.152083333,1.152768627,1.152768627
2.25,1.127039286,1.1357,1.12945,1.129357407,1.129357407
2.3,1.099430769,1.1029125,1.10461875,1.101648,1.101648
2.35,1.073347826,1.100877778,1.0800375,1.083919298,1.083919298
2.4,1.0698,1.1078,,1.095133333,1.095133333
Grand Total,1.037877469,1.216829747,1.051362966,1.101173986,1.101173986
